path,prior_bytes,prior_sha256,final_bytes,final_sha256,state,reason,tests,readback
Obsidian/00_HOME.md,1753,360e207b9dcbd55eeea8d4c58067b78bc630e68d31ca1054676f9ad1ca66ec04,2756,e70a3950470b6f09ab67067f8d5b2d342523a0b7fc76a33abceccaffb17fa9e2,current,Updated in place: browser-safe primary routes; obsidian:// secondary,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_AGENT_RUNTIME_ROUTING_v1.0.html,,,22779,1f49360a2746598654081c2e29faf0bbafe5a774eb0aa871f9d0d5bdf4c5dc50,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_ASSET_PATTERN_LIBRARY_v1.0.html,,,22878,c33c3517af7bc883da1222e7c31506b446a3956a9320e2c076cb824e19347a7b,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_BENEFITS_ASSETS_v1.0.html,,,23368,c8ef74ad6f2b75c8c0bab51d711df4d476d43535216a3173eb537461818299ab,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_CANONICAL_LIBRARY_v1.0.html,,,21255,ea2b15fbe25f40bfefc462205240184b51be4347414e1a6c5719b395a0bce5a8,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_CONTEXT_MEMBRANE_v1.0.html,,,22224,e4594874f39b5f5e0605538d8ea6ee681a02b0afc54fd33c7fefc2b4bad5a271,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_CURRENT_WORK_OBJECT_QUEUE_v1.0.html,,,21978,155011a518fe12eab048b02203e7f7dd32aee424a6acaf493e59a1c72191020b,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_MESH_CONTROL_GATES_v1.0.html,,,21842,6968c0c046ced4b282408dbe0d3b6a74e61f91dcb0961e5ece26c3e6c4bf390e,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_METHOD_LIBRARY_v1.0.html,,,20883,92dddd5fb2eb6ca6ebc8420afa943746d8685c0e4d7be1abbc51dbf553706d01,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
Obsidian/00_SYSTEM/NAVIGATOR_SUPPORT/CURRENT/COMPONENTS/CANVAS_VIEW_SERVICE_CATALOGUE_v1.0.html,,,25590,f3bd01be23a58165380147dc77ae2c53077c883689d941202bffd252743defa4,current,NEW: browser-safe SVG canvas projection from authoritative .canvas source,35-test harness + nested sweep + 134 browser checks + adversarial injections,sp_write returned-hash match + spot sp_read (final return)
